,mass_1_source,mass_2_source,total_mass_source,chirp_mass_source,symmetric_mass_ratio
unit,Msun,Msun,Msun,Msun,#
0.005,1.6441639575460987,0.9994541718854211,3.249821005428149,1.4080350276340752,4.0000171533972795
0.05,1.6841653325645118,1.0909751487859913,3.278664618762034,1.4174672253178329,4.001715341990777
0.5,2.0272666828647226,1.3535115436254748,3.3872883331059542,1.4377566664330765,4.165118427766661
0.95,2.6031371863620767,1.61550296554065,3.7004914767156913,1.4594405359497995,4.800832954615315
0.995,2.884835334426985,1.655863341684156,3.886963720442013,1.4682698346965304,5.231782903057026
