,mass_1_source,mass_2_source,total_mass_source,chirp_mass_source,symmetric_mass_ratio
unit,Msun,Msun,Msun,Msun,#
0.005,2.8886027872012594,0.8295837343883796,5.44034832775044,2.273819403549142,4.008600665177225
0.05,3.4114490680640106,0.9884368571084864,5.680417586278843,2.327613793810586,4.172103309939497
0.5,5.707997587250286,1.4586593603907143,7.165057128554052,2.407180344197973,6.174371754878019
0.95,9.676489038781563,2.261470673512336,10.66074082294756,2.4851283848864543,11.902916134484807
0.995,12.571254210123392,2.652022888830505,13.391902377246971,2.5184384579633288,17.19195340943781
